"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"172",2181.0000000000,10467.1936719456,20.8783392409,0.0056633180,0.1135994587,0.0783983234,0.0016002635,0.0058713035,144.7159165257,1.0000000000,0.7000000000,29.5548916330
"173",2182.0000000000,10468.1227780841,20.9972533638,0.0056294398,0.1126442221,0.0772397275,0.0015304160,0.0057925276,143.9849906741,1.0000000000,0.7000000000,30.1459894656
"174",2183.0000000000,10469.0256100117,21.1161253208,0.0055957643,0.1116979611,0.0760982537,0.0014636172,0.0057148569,143.2577565560,1.0000000000,0.7000000000,30.7489092549
"175",2184.0000000000,10469.9029085599,21.2349511025,0.0055622903,0.1107605835,0.0749736490,0.0013997339,0.0056382752,142.5341955254,1.0000000000,0.7000000000,31.3638874400
"176",2185.0000000000,10470.7553937935,21.3537267286,0.0055290164,0.1098319980,0.0738656640,0.0013386390,0.0055627667,141.8142890303,1.0000000000,0.7000000000,31.9911651888
"177",2186.0000000000,10471.5837655858,21.4724482479,0.0054959417,0.1089121145,0.0727740532,0.0012802108,0.0054883156,141.0980186126,1.0000000000,0.7000000000,32.6309884926
"178",2187.0000000000,10472.3887041782,21.5911117384,0.0054630647,0.1080008437,0.0716985746,0.0012243328,0.0054149064,140.3853659073,1.0000000000,0.7000000000,33.2836082625
"179",2188.0000000000,10473.1708707251,21.7097133077,0.0054303845,0.1070980974,0.0706389898,0.0011708937,0.0053425240,139.6763126421,1.0000000000,0.7000000000,33.9492804277
"180",2189.0000000000,10473.9309078236,21.8282490930,0.0053978997,0.1062037883,0.0695950638,0.0011197871,0.0052711535,138.9708406373,1.0000000000,0.7000000000,34.6282660363
"181",2190.0000000000,10474.6694400288,21.9467152615,0.0053656093,0.1053178301,0.0685665653,0.0010709112,0.0052007800,138.2689318046,1.0000000000,0.7000000000,35.3208313570
"182",2191.0000000000,10475.3870743553,22.0651080104,0.0053335120,0.1044401376,0.0675532663,0.0010241686,0.0051313890,137.5705681473,1.0000000000,0.7000000000,36.0272479841
"183",2192.0000000000,10476.0844007653,22.1834235670,0.0053016068,0.1035706263,0.0665549422,0.0009794662,0.0050629662,136.8757317596,1.0000000000,0.7000000000,36.7477929438
"184",2193.0000000000,10476.7619926427,22.3016581892,0.0052698924,0.1027092127,0.0655713716,0.0009367150,0.0049954975,136.1844048261,1.0000000000,0.7000000000,37.4827488027
"185",2194.0000000000,10477.4204072547,22.4198081653,0.0052383677,0.1018558143,0.0646023366,0.0008958297,0.0049289691,135.4965696213,1.0000000000,0.7000000000,38.2324037787
"186",2195.0000000000,10478.0601862010,22.5378698143,0.0052070316,0.1010103495,0.0636476222,0.0008567290,0.0048633673,134.8122085094,1.0000000000,0.7000000000,38.9970518543
"187",2196.0000000000,10478.6818558502,22.6558394861,0.0051758829,0.1001727376,0.0627070170,0.0008193349,0.0047986785,134.1313039436,1.0000000000,0.7000000000,39.7769928914
"188",2197.0000000000,10479.2859277646,22.7737135615,0.0051449206,0.0993428986,0.0617803123,0.0007835730,0.0047348897,133.4538384656,1.0000000000,0.7000000000,40.5725327492
"189",2198.0000000000,10479.8728991132,22.8914884524,0.0051141435,0.0985207536,0.0608673028,0.0007493720,0.0046719877,132.7797947054,1.0000000000,0.7000000000,41.3839834042
"190",2199.0000000000,10480.4432530736,23.0091606019,0.0050835505,0.0977062245,0.0599677860,0.0007166638,0.0046099596,132.1091553808,1.0000000000,0.7000000000,42.2116630723
"191",2200.0000000000,10480.9974592226,23.1267264845,0.0050531405,0.0968992340,0.0590815625,0.0006853832,0.0045487928,131.4419032967,1.0000000000,0.7000000000,43.0558963337
"192",2201.0000000000,10481.5359739161,23.2441826061,0.0050229125,0.0960997058,0.0582084360,0.0006554679,0.0044884748,130.7780213450,1.0000000000,0.7000000000,43.9170142604
"193",2202.0000000000,10482.0592406588,23.3615255040,0.0049928652,0.0953075643,0.0573482128,0.0006268584,0.0044289933,130.1174925040,1.0000000000,0.7000000000,44.7953545456
"194",2203.0000000000,10482.5676904633,23.4787517473,0.0049629977,0.0945227346,0.0565007023,0.0005994976,0.0043703363,129.4602998378,1.0000000000,0.7000000000,45.6912616365
"195",2204.0000000000,10483.0617421997,23.5958579368,0.0049333089,0.0937451430,0.0556657165,0.0005733310,0.0043124917,128.8064264963,1.0000000000,0.7000000000,46.6050868693
"196",2205.0000000000,10483.5418029352,23.7128407049,0.0049037977,0.0929747163,0.0548430705,0.0005483065,0.0042554480,128.1558557143,1.0000000000,0.7000000000,47.5371886067
"197",2206.0000000000,10484.0082682651,23.8296967162,0.0048744630,0.0922113821,0.0540325817,0.0005243743,0.0041991934,127.5085708114,1.0000000000,0.7000000000,48.4879323788
"198",2207.0000000000,10484.4615226331,23.9464226670,0.0048453038,0.0914550689,0.0532340707,0.0005014867,0.0041437167,126.8645551914,1.0000000000,0.7000000000,49.4576910264
"199",2208.0000000000,10484.9019396446,24.0630152855,0.0048163190,0.0907057060,0.0524473603,0.0004795981,0.0040890065,126.2237923418,1.0000000000,0.7000000000,50.4468448469
