"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"200",2209.0000000000,10485.3298823699,24.1794713323,0.0047875076,0.0899632234,0.0516722761,0.0004586648,0.0040350519,125.5862658339,1.0000000000,0.7000000000,51.4557817438
"201",2210.0000000000,10485.7457036401,24.2957875999,0.0047588685,0.0892275518,0.0509086464,0.0004386452,0.0039818419,124.9519593214,1.0000000000,0.7000000000,52.4848973787
"202",2211.0000000000,10486.1497463334,24.4119609129,0.0047304008,0.0884986229,0.0501563019,0.0004194995,0.0039293659,124.3208565411,1.0000000000,0.7000000000,53.5345953263
"203",2212.0000000000,10486.5423436552,24.5279881282,0.0047021034,0.0877763688,0.0494150758,0.0004011894,0.0038776133,123.6929413116,1.0000000000,0.7000000000,54.6052872328
"204",2213.0000000000,10486.9238194092,24.6438661349,0.0046739752,0.0870607226,0.0486848037,0.0003836785,0.0038265736,123.0681975333,1.0000000000,0.7000000000,55.6973929775
"205",2214.0000000000,10487.2944882609,24.7595918543,0.0046460154,0.0863516181,0.0479653239,0.0003669318,0.0037762367,122.4466091880,1.0000000000,0.7000000000,56.8113408370
"206",2215.0000000000,10487.6546559950,24.8751622401,0.0046182227,0.0856489896,0.0472564767,0.0003509162,0.0037265924,121.8281603384,1.0000000000,0.7000000000,57.9475676538
"207",2216.0000000000,10488.0046197641,24.9905742782,0.0045905964,0.0849527723,0.0465581051,0.0003355996,0.0036776309,121.2128351276,1.0000000000,0.7000000000,59.1065190068
"208",2217.0000000000,10488.3446683318,25.1058249868,0.0045631352,0.0842629022,0.0458700543,0.0003209515,0.0036293422,120.6006177788,1.0000000000,0.7000000000,60.2886493870
"209",2218.0000000000,10488.6750823081,25.2209114165,0.0045358384,0.0835793157,0.0451921717,0.0003069428,0.0035817167,119.9914925950,1.0000000000,0.7000000000,61.4944223747
"210",2219.0000000000,10488.9961343787,25.3358306501,0.0045087049,0.0829019501,0.0445243071,0.0002935455,0.0035347450,119.3854439583,1.0000000000,0.7000000000,62.7243108222
"211",2220.0000000000,10489.3080895277,25.4505798028,0.0044817336,0.0822307434,0.0438663124,0.0002807330,0.0034884177,118.7824563299,1.0000000000,0.7000000000,63.9787970386
"212",2221.0000000000,10489.6112052544,25.5651560220,0.0044549237,0.0815656341,0.0432180418,0.0002684797,0.0034427256,118.1825142494,1.0000000000,0.7000000000,65.2583729794
"213",2222.0000000000,10489.9057317840,25.6795564875,0.0044282742,0.0809065614,0.0425793515,0.0002567612,0.0033976596,117.5856023343,1.0000000000,0.7000000000,66.5635404390
"214",2223.0000000000,10490.1919122717,25.7937784113,0.0044017841,0.0802534654,0.0419501000,0.0002455542,0.0033532106,116.9917052801,1.0000000000,0.7000000000,67.8948112478
